Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Others,4,arunachal-pradesh,4020773.8953960314,4838.0,2022
Recharge & bill payments,1,assam,93491181.14056379,632092.0,2018
Peer-to-peer payments,1,assam,993525195.9818655,318025.0,2018
Merchant payments,1,assam,34501622.892667554,40482.0,2018
Financial Services,1,assam,4936862.200688562,18172.0,2018
Others,1,assam,31349593.99668264,48110.0,2018
Recharge & bill payments,2,assam,174427478.213408,984160.0,2018
Peer-to-peer payments,2,assam,2064314053.1339972,530781.0,2018
Merchant payments,2,assam,73366344.80739225,79307.0,2018
Financial Services,2,assam,7051504.657611102,22773.0,2018
Others,2,assam,31425754.72538605,46852.0,2018
Recharge & bill payments,3,assam,254569069.32411742,1275136.0,2018
Peer-to-peer payments,3,assam,3424136709.50882,843571.0,2018
Merchant payments,3,assam,96783839.37466942,159532.0,2018
Financial Services,3,assam,4741123.821880115,22677.0,2018
Others,3,assam,30904247.88478589,50935.0,2018
Recharge & bill payments,4,assam,317661277.3470997,1703488.0,2018
Peer-to-peer payments,4,assam,5284776455.070784,1279089.0,2018
Merchant payments,4,assam,240563395.2777939,667293.0,2018
Financial Services,4,assam,6331912.52655252,28035.0,2018
Others,4,assam,38689818.79087821,56267.0,2018
Recharge & bill payments,1,assam,400281677.9438284,1993220.0,2019
Peer-to-peer payments,1,assam,7291433300.700248,1976310.0,2019
Merchant payments,1,assam,266644645.7492942,494871.0,2019
Financial Services,1,assam,4612454.1127945455,20162.0,2019
Others,1,assam,39127457.94468763,48442.0,2019
Recharge & bill payments,2,assam,539315772.8606573,2512932.0,2019
Peer-to-peer payments,2,assam,10035232820.852959,2293770.0,2019
Merchant payments,2,assam,326844709.5879724,573646.0,2019
Financial Services,2,assam,4037222.414240564,13654.0,2019
Others,2,assam,49538663.41037582,60927.0,2019
Peer-to-peer payments,3,assam,11835800855.17655,2713539.0,2019
Recharge & bill payments,3,assam,639885372.7480905,2645302.0,2019
Merchant payments,3,assam,421380275.4207429,513728.0,2019
Financial Services,3,assam,6403456.344768786,8606.0,2019
Others,3,assam,46973660.73634353,61396.0,2019
Peer-to-peer payments,4,assam,14083346879.36185,3222143.0,2019
Recharge & bill payments,4,assam,704118873.9720939,2937800.0,2019
Merchant payments,4,assam,456318130.082201,544053.0,2019
Financial Services,4,assam,3492255.0860687294,9621.0,2019
Others,4,assam,34707757.00985589,46893.0,2019
Peer-to-peer payments,1,assam,18977446151.76882,4058740.0,2020
Recharge & bill payments,1,assam,971722606.1579468,3897975.0,2020
Merchant payments,1,assam,675423852.9512749,792646.0,2020
Financial Services,1,assam,7054325.507515656,10173.0,2020
Others,1,assam,36781411.34368035,49326.0,2020
Recharge & bill payments,2,assam,1612522828.716347,6045321.0,2020
Peer-to-peer payments,2,assam,17358374071.26616,3648386.0,2020
Merchant payments,2,assam,749018053.2400584,742400.0,2020
Financial Services,2,assam,18130004.68767226,19814.0,2020
Others,2,assam,28255168.009208795,49278.0,2020
Peer-to-peer payments,3,assam,26646565777.439194,5637893.0,2020
Recharge & bill payments,3,assam,1627282415.945187,5292154.0,2020
Merchant payments,3,assam,1492484153.387315,1383230.0,2020
Financial Services,3,assam,28452966.02637225,24954.0,2020
Others,3,assam,36605946.74600269,59480.0,2020
Peer-to-peer payments,4,assam,36013292450.81438,7538478.0,2020
Recharge & bill payments,4,assam,1662189124.417745,5383505.0,2020
Merchant payments,4,assam,2466913305.59039,2392184.0,2020
Financial Services,4,assam,32314809.97526103,29764.0,2020
Others,4,assam,51901628.46643049,79523.0,2020
Peer-to-peer payments,1,assam,45476079487.104645,9449096.0,2021
Recharge & bill payments,1,assam,2103017761.5465329,6494111.0,2021
Merchant payments,1,assam,3657261586.200161,3459132.0,2021
Financial Services,1,assam,41291047.383212395,34049.0,2021
Others,1,assam,48814663.88782827,75672.0,2021
