Place Name,Quarter,State,Total Amount,Total Transactions count,Year
krishna district,4,andhra-pradesh,125015323207.8983,55489829.0,2021
east godavari district,1,andhra-pradesh,121067103712.79561,54738830.0,2022
srikakulam district,1,andhra-pradesh,46898912115.649216,20990782.0,2022
spsr nellore district,1,andhra-pradesh,104895571602.1398,47645702.0,2022
vizianagaram district,1,andhra-pradesh,41994853361.58878,19278262.0,2022
visakhapatnam district,1,andhra-pradesh,170120350591.26,88233362.0,2022
prakasam district,1,andhra-pradesh,79494373254.71565,31340975.0,2022
anantapur district,1,andhra-pradesh,90197023268.43825,40613148.0,2022
ysr district,1,andhra-pradesh,78421693518.90942,29783739.0,2022
west godavari district,1,andhra-pradesh,92397939903.60939,37271259.0,2022
kurnool district,1,andhra-pradesh,81568420500.54749,35093633.0,2022
chittoor district,1,andhra-pradesh,117900595508.634,58561024.0,2022
guntur district,1,andhra-pradesh,129673727687.0894,57226996.0,2022
krishna district,1,andhra-pradesh,139690081529.49042,61826199.0,2022
east godavari district,2,andhra-pradesh,135531452997.63911,62072845.0,2022
srikakulam district,2,andhra-pradesh,53754764122.43269,23727353.0,2022
spsr nellore district,2,andhra-pradesh,121941082043.49481,54838708.0,2022
vizianagaram district,2,andhra-pradesh,47294745020.495636,21766135.0,2022
visakhapatnam district,2,andhra-pradesh,193242841582.14282,101387402.0,2022
prakasam district,2,andhra-pradesh,90435082545.97766,36163507.0,2022
anantapur district,2,andhra-pradesh,102138758015.7691,46099366.0,2022
ysr district,2,andhra-pradesh,87601310069.59737,33154559.0,2022
west godavari district,2,andhra-pradesh,107973244960.42819,44409239.0,2022
kurnool district,2,andhra-pradesh,92409350855.50198,40165692.0,2022
chittoor district,2,andhra-pradesh,136435445124.75612,67507661.0,2022
guntur district,2,andhra-pradesh,147098141568.7623,66315749.0,2022
krishna district,2,andhra-pradesh,163997729295.9313,73525814.0,2022
east godavari district,3,andhra-pradesh,129677722169.7482,61467134.0,2022
srikakulam district,3,andhra-pradesh,46899962921.785614,22126541.0,2022
