App Openings,Place Name,Quarter,Registered Users Count,State,Year
24542868.0,west godavari district,1,843835.0,andhra-pradesh,2020
51354573.0,chittoor district,1,1270907.0,andhra-pradesh,2020
45884498.0,east godavari district,2,1459116.0,andhra-pradesh,2020
23808009.0,srikakulam district,2,608002.0,andhra-pradesh,2020
69684456.0,visakhapatnam district,2,1904719.0,andhra-pradesh,2020
32255276.0,prakasam district,2,830709.0,andhra-pradesh,2020
39704703.0,anantapur district,2,1076953.0,andhra-pradesh,2020
36268390.0,kurnool district,2,1035093.0,andhra-pradesh,2020
44267596.0,guntur district,2,1426271.0,andhra-pradesh,2020
41234166.0,krishna district,2,1459041.0,andhra-pradesh,2020
30816403.0,spsr nellore district,2,854459.0,andhra-pradesh,2020
24370380.0,vizianagaram district,2,537798.0,andhra-pradesh,2020
29644037.0,ysr district,2,796769.0,andhra-pradesh,2020
26583613.0,west godavari district,2,944829.0,andhra-pradesh,2020
49820171.0,chittoor district,2,1385916.0,andhra-pradesh,2020
64292857.0,east godavari district,3,1601940.0,andhra-pradesh,2020
31794753.0,srikakulam district,3,667858.0,andhra-pradesh,2020
102589371.0,visakhapatnam district,3,2058346.0,andhra-pradesh,2020
44970519.0,prakasam district,3,915240.0,andhra-pradesh,2020
55714787.0,anantapur district,3,1186851.0,andhra-pradesh,2020
49164718.0,kurnool district,3,1132240.0,andhra-pradesh,2020
62427501.0,guntur district,3,1567595.0,andhra-pradesh,2020
61028114.0,krishna district,3,1599289.0,andhra-pradesh,2020
43951448.0,spsr nellore district,3,937176.0,andhra-pradesh,2020
31199437.0,vizianagaram district,3,587784.0,andhra-pradesh,2020
41578067.0,ysr district,3,877909.0,andhra-pradesh,2020
38126238.0,west godavari district,3,1053674.0,andhra-pradesh,2020
69462572.0,chittoor district,3,1506503.0,andhra-pradesh,2020
82605352.0,east godavari district,4,1746280.0,andhra-pradesh,2020
36770992.0,srikakulam district,4,726761.0,andhra-pradesh,2020
124730170.0,visakhapatnam district,4,2209658.0,andhra-pradesh,2020
52839846.0,prakasam district,4,999462.0,andhra-pradesh,2020
69562398.0,anantapur district,4,1295872.0,andhra-pradesh,2020
60615045.0,kurnool district,4,1230466.0,andhra-pradesh,2020
81291172.0,guntur district,4,1712940.0,andhra-pradesh,2020
81787771.0,krishna district,4,1744028.0,andhra-pradesh,2020
54765443.0,spsr nellore district,4,1022944.0,andhra-pradesh,2020
35110885.0,vizianagaram district,4,634462.0,andhra-pradesh,2020
49596303.0,ysr district,4,959182.0,andhra-pradesh,2020
51170162.0,west godavari district,4,1163179.0,andhra-pradesh,2020
88232999.0,chittoor district,4,1631331.0,andhra-pradesh,2020
91478749.0,east godavari district,1,1878769.0,andhra-pradesh,2021
40590058.0,srikakulam district,1,782604.0,andhra-pradesh,2021
135908324.0,visakhapatnam district,1,2368081.0,andhra-pradesh,2021
56911479.0,prakasam district,1,1075936.0,andhra-pradesh,2021
73375049.0,anantapur district,1,1394849.0,andhra-pradesh,2021
65326230.0,kurnool district,1,1323411.0,andhra-pradesh,2021
92731167.0,guntur district,1,1843237.0,andhra-pradesh,2021
92941553.0,krishna district,1,1876458.0,andhra-pradesh,2021
60691988.0,spsr nellore district,1,1100541.0,andhra-pradesh,2021
37752539.0,vizianagaram district,1,681621.0,andhra-pradesh,2021
53525815.0,ysr district,1,1032689.0,andhra-pradesh,2021
57392671.0,west godavari district,1,1254117.0,andhra-pradesh,2021
99083825.0,chittoor district,1,1751420.0,andhra-pradesh,2021
84705076.0,east godavari district,2,2006272.0,andhra-pradesh,2021
43740255.0,srikakulam district,2,837958.0,andhra-pradesh,2021
114313154.0,visakhapatnam district,2,2526830.0,andhra-pradesh,2021
76850749.0,prakasam district,2,1151232.0,andhra-pradesh,2021
104568606.0,anantapur district,2,1492738.0,andhra-pradesh,2021
81894678.0,kurnool district,2,1415585.0,andhra-pradesh,2021
88248064.0,guntur district,2,1968681.0,andhra-pradesh,2021
85771678.0,krishna district,2,2002662.0,andhra-pradesh,2021
74049216.0,spsr nellore district,2,1176334.0,andhra-pradesh,2021
42684475.0,vizianagaram district,2,729509.0,andhra-pradesh,2021
72255265.0,ysr district,2,1103004.0,andhra-pradesh,2021
65118788.0,west godavari district,2,1339377.0,andhra-pradesh,2021
110505432.0,chittoor district,2,1870723.0,andhra-pradesh,2021
103626560.0,east godavari district,3,2150622.0,andhra-pradesh,2021
48622126.0,srikakulam district,3,902008.0,andhra-pradesh,2021
139540800.0,visakhapatnam district,3,2707931.0,andhra-pradesh,2021
91533813.0,prakasam district,3,1239147.0,andhra-pradesh,2021
124985545.0,anantapur district,3,1606735.0,andhra-pradesh,2021
101210508.0,kurnool district,3,1522196.0,andhra-pradesh,2021
106621413.0,guntur district,3,2110878.0,andhra-pradesh,2021
104358295.0,krishna district,3,2145423.0,andhra-pradesh,2021
90102349.0,spsr nellore district,3,1263550.0,andhra-pradesh,2021
46277311.0,vizianagaram district,3,784444.0,andhra-pradesh,2021
86369956.0,ysr district,3,1183377.0,andhra-pradesh,2021
80244808.0,west godavari district,3,1436576.0,andhra-pradesh,2021
135043395.0,chittoor district,3,2007011.0,andhra-pradesh,2021
142536856.0,east godavari district,4,2294347.0,andhra-pradesh,2021
61654215.0,srikakulam district,4,965335.0,andhra-pradesh,2021
